"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"5","10 kwietni","Rosja","36 Specjalny Pulk Lotnictwa Transportowego",101,"Tu-154","PLF101-I-M",96,0,"osobny artykul"
"6","2010-04-13","Hongkong","Cathay Pacific Airways",780,"Airbus A330-300","B-HLL",0,322,""
"7","2010-04-13","Indonezja","Merpati Nusantara Airlines",836,"Boeing 737-300","PK-MDE",0,103,""
"8","2010-05-12","Libia","Afriqiyah Airways",771,"Airbus A330-200","5A-ONG",103,1,"osobny artykul"
"9","2010-05-15","Surinam","Blue Wing Airlines",NA,"An-28","PZ-TSV",8,0,""
"10","2010-05-17","Afganistan","Pamir Airways",1102,"An-24B","YA-PIS",44,0,"osobny artykul"
"11","2010-05-22","Indie","Air India Express",812,"Boeing 737-800","VT-AXV",158,8,"osobny artykul"
"12","2010-07-27","Arabia Saudyjska","Lufthansa Cargo",8460,"McDonnell Douglas MD-11","D-ALCQ",0,2,""
"13","2010-07-28","Pakistan","Airblue",202,"Airbus A321-100","AP-BJB",152,0,"osobny artykul"
"14","2010-08-03","Rosja","Katekavia",57,"An-24RV","RA-46524",12,3,""
"15","2010-08-16","Kolumbia","AIRES Colombia",8250,"Boeing 737-700","HK-4682",2,125,""
"16","2010-08-24","Chiny","Henan Airlines",8387,"Embraer 190LR","B-3130",42,54,"osobny artykul"
"17","2010-08-24","Nepal","Agni Air",101,"Dornier Do 228","9N-WSHE",14,0,"osobny artykul"
"18","2010-08-25","Kongo","Filair",NA,"Let L-410 Turbolet","9Q-CCN",20,1,"osobny artykul"
"19","2010-09-03","Zjednoczone Emiraty Arabskie","UPS",6,"Boeing 747-400","N571UP",2,0,"osobny artykul"
"20","2010-09-07","Rosja","Alrosa Mirny Air Enterprise",514,"Tu-154M","RA-85684",0,81,""
"21","2010-09-13","Wenezuela","Conviasa",2350,"ATR 42-320","YV1010",17,34,"osobny artykul"
"22","2010-09-25","Wlochy","Wind Jet",243,"Airbus A319-100","EI-EDM",0,123,""
"23","2010-11-04","Kuba","Aero Caribbean",883,"ATR 72-212","CU-T1549",68,0,"osobny artykul"
"24","2010-11-04","Indonezja","Qantas",32,"Airbus A380-842","VH-OQA",0,469,"osobny artykul"
"25","2010-11-05","Pakistan","Jahangir Siddiqui Air",NA,"Beechcraft 1900","AP-BJD",21,0,"osobny artykul"
"26","2010-12-04","Rosja","South East",372,"Tu-154","RA-85744",2,170,""
"27","2010-12-15","Nepal","Tara Air",NA,"DHC-6 Twin Otter","9N-AFX",22,0,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","2011-01-01","Rosja","Kogalymavia","348","Tu-154B-2","RA-85588",3,121,"osobny artykul"
"2","2011-01-09","Iran","Iran Air","277","Boeing 727-286Adv","EP-IRP",77,28,"osobny artykul"
"3","2011-02-10","Irlandia","Manx2","7100","Fairchild Metroliner","EC-ITP",6,6,"osobny artykul"
"4","2011-02-14","Honduras","Central American Airways","731","Let L-410 Turbolet","HR-AUQ",14,0,""
"5","2011-03-05","Rosja","Antonov Airlines","lot próbny","Antonow An-148","RA-61708",6,0,"osobny artykul"
"6","2011-03-21","Kongo","Trans Air Congo","cargo","Antonow An-12","TN-AGK",23,0,""
"7","2011-04-01","Stany Zjednoczone","Southwest Airlines","812","Boeing 737-3H4","N632SW",0,123,""
"8","2011-04-04","Stany Zjednoczone","United Airlines","497","Airbus A320-232","N409UA",0,106,""
"9","2011-04-04","Demokratyczna Republika Konga","Georgian Airways","834","Canadair CL-600","4L-GAE",32,1,"osobny artykul"
"10","2011-05-07","Indonezja","Merpati Nusantara Airlines","8968","Xi’an MA60","PK-MZK",27,0,"osobny artykul"
"11","2011-05-01","Argentyna","Sol Líneas Aéreas","5428","Saab 340A","LV-CEJ",22,0,"osobny artykul"
"12","2011-06-20","Rosja","RusAir","9605","Tupolew Tu-134","RA-65691",47,5,"osobny artykul"
"13","2011-07-06","Afganistan","Silk Way Airlines","cargo","Iljuszyn Il-76","4K-AZ55",9,0,""
"14","2011-07-08","Demokratyczna Republika Konga","Hewa Bora Airways","952","Boeing 727","9Q-COP",74,44,"osobny artykul"
"15","2011-07-11","Rosja","Angara Airlines","5007","Antonow An-24","RA-47302",6,31,""
"16","2011-07-13","Brazylia","NOAR Linhas Aéreas","4896","Let L-410 Turbolet","PR-NOB",16,0,""
"17","2011-07-28","Korea Poludniowa","Asiana Airlines","991","Boeing 747-400","HL7604",2,0,"osobny artykul"
"18","2011-07-30","Gujana","Caribbean Airlines","523","Boeing 737-800","9Y-PBM",0,162,""
"19","2011-08-20","Kanada","First Air","6560","Boeing 737-200","C-GNWN",12,3,"osobny artykul"
"20","2011-09-07","Rosja","Yak Service","czarterowy","Jak-42D","RA-42434",44,1,"osobny artykul"
"21","2011-09-25","Nepal","Buddha Air","103","Beechcraft 1900D","9N-AEK",19,0,""
"22","2011-10-13","Papua-Nowa Gwinea","Airlines of PNG","1600","DHC-8","P2-MCJ",28,4,"osobny artykul"
"23","2011-11-01","Polska","LOT","016","Boeing 767-35D","SP-LPC",0,231,"osobny artykul"
"24","2011-12-20","Indonezja","Sriwijaya Air","230","Boeing 737-36M","PK-CKM",0,131,""
"25","2011-12-28","Kirgistan","Kyrgyzstan Airlines","–","Tu-134A-3","EX-020",0,70,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","2012-02-27","Stany Zjednoczone","Shuttle America","5124","Embraer 170","N637RW",0,73,""
"2","2012-04-02","Rosja","UTair","120","ATR 72","VP-BYZ",31,12,"osobny artykul"
"3","2012-04-20","Pakistan","Bhoja Air","213","Boeing 737-200","AP-BKC",127,0,"osobny artykul"
"4","2012-05-09","Indonezja","Suchoj","–","Suchoj Superjet 100","RA-97004",45,0,"osobny artykul"
"5","2012-05-14","Nepal","Agni Air","AG-CHT","Dornier Do 228","9N-AIG",15,6,"osobny artykul"
"6","2 czerwca","Ghana","Allied Air","111","Boeing 727","5N-BJN",12,4,""
"7","2012-06-03","Nigeria","Dana Air","992","McDonnell Douglas MD-83","5N-RAM",153,0,"osobny artykul"
"8","12 wrzesni","Rosja","Petropavlovsk-Kamchatsky Air","251","An-28","RA-28715",10,4,""
"9","20 wrzesni","Syria","Syrian Air","501","Airbus A320","YK-AKF",3,200,""
"10","2012-09-28","Nepal","Sita Air","601","Dornier Do 228","9N-AHA",19,0,"osobny artykul"
"11","7 pazdzier","Antigua i Barbuda","FlyMontserrat","107","Britten Norman Islander","VP-MON",3,1,""
"12","2012-12-25","Mjanma","Air Bagan","011","Fokker 100","XY-AGC",2,69,""
"13","2012-12-29","Rosja","Red Wings Airlines","WZ9268","Tupolev Tu-204","RA-64047",5,3,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","2013-01-04","Wenezuela","Transaereo 5074","","BN-2A-27 Islander","YV2615",6,0,"aviation-safety"
"2","2013-01-17","Meksyk","Habilitaciones Turisticas SA","","Piper PA-31-325 Navajo","XB-EZY",8,0,"altair"
"3","2013-01-29","Kazachstan","Scat Air","760","Bombardier CRJ-200","UP-CJ006",21,0,"osobny artykul"
"4","2013-01-23","Nepal","Kenn Borek Air","","DHC-6-300 Twin Otter","C-GKBC",3,0,"aviation-safety.net"
"5","2013-02-02","Wlochy","Alitalia/Carpatair","1670","ATR 72-200","YR-ATS",0,50,"aviation-safety.net"
"6","2013-02-13","Ukraina","South Airlines","8971","An-24RV","UR-WRA",5,47,"aviation-safety.net"
"7","2013-03-04","Demokratyczna Republika Konga","CAA","","Fokker 50","9Q-CBD",6,3,"aviation-safety.net"
"8","2013-03-06","Peru","Aero Transport SA","","Beechcraft King Air B200","OB-1992-P",9,0,"altair.com.pl"
"9","2013-04-13","Indonezja","Lion Air","904","Boeing 737-800NG","PK-LKS",0,108,""
"10","2013-04-29","Afganistan","National Airlines","102","Boeing 747-400","N949CA",7,0,"osobny artykul"
"11","2013-05-16","Nepal","Nepal Airlines","555","DHC-6-300 Twin Otter","9N-ABO",0,22,"flightglobal"
"12","2013-05-24","Wielka Brytania","British Airways","762","Airbus A319-131","G-EUOE",0,80,"flightglobal"
"13","2013-05-24","Kirgistan","Valor Air","","An-2R","EX-02015",3,0,"altair"
"14","2013-06-08","Wlochy","Wizz Air","3141","Airbus A320-232","HA-LWM",0,171,""
"15","2013-07-06","Stany Zjednoczone","Asiana Airlines","214","Boeing 777-28EER","HL7742",3,303,"osobny artykul"
"16","2013-08-14","Stany Zjednoczone","UPS","1354","Airbus A300-600","N155UP",2,0,"osobny artykul"
"17","2013-09-08","Tajlandia","Thai Airways International","679","Airbus A330-300","HS-TEF",0,302,"jansaviation"
"18","2013-09-27","Szwajcaria","Croatia Airlines","464","Bombardier Dash 8 Q400","9A-CQC",0,65,""
"19","2013-09-29","Wlochy","Alitalia","063","Airbus A320","EI-EIB",0,151,""
"20","2013-10-03","Nigeria","Associated Aviation","361","Embraer 120 Brasilia","5N-BJY",16,4,""
"21","2013-10-16","Laos","Lao Airlines","301","ATR 72-600","RDPL-34233",49,0,"osobny artykul"
"22","2013-10-19","Papua-Nowa Gwinea","Air Niugini Avions","?","ATR 42-320F","P2-PXY",0,3,""
"23","2013-10-19","Filipiny","SkyJet Airlines","?","BAe 146","RP-C5525",0,75,""
"24","2013-11-17","Rosja","Tatarstan Airlines","363","Boeing 737-500","VQ-BBN",50,0,"osobny artykul"
"25","2013-11-29","Namibia","LAM","470","Embraer 190","C9-EMC",33,0,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","2014-01-05","Arabia Saudyjska","Saudia","2841","Boeing 767","HS-BKE","0",245,""
"2","2014-02-16","Nepal","Nepal Airlines","183","DHC-6-300 Twin Otter","9N-ABB","18",0,"osobny artykul"
"3","17 lutego","Szwajcaria","Ethiopian Airlines","702","Boeing 767","ET-AMF","0",202,""
"4","2014-03-08","Australia","Malaysia Airlines","MH370","Boeing 777-200ER","9M-MRO","239[a]",0,"osobny artykul"
"5","2014-05-31","Stany Zjednoczone","SK Travel LLC","–","Gulfstream IV","N121JM","7",0,"aviation-safety"
"6","2014-06-03","Rosja","Aeroflot","–","Il-96-300","RA-96010","0",0,"aviation-safety"
"7","14 czerwca","Ukraina","Ukrainian Air Force","–","Il-76","76777","49",0,""
"8","2014-07-17","Ukraina","Malaysia Airlines","MH17","Boeing 777-200ER","9M-MRD","298",0,"osobny artykul"
"9","2014-07-23","Tajwan","TransAsia Airways","GE-222","ATR 72","B-22817","48",10,"osobny artykul"
"10","2014-07-24","Mali","Air Algerie","AH-5017","MD-83","EC-LTV","116[1]",0,"osobny artykul"
"11","2014-08-10","Iran","Sepahan Air/Taban Air","HH-5915","An-140","EP-GPA","39[b]",9,"osobny artykul"
"12","2014-12-28","Indonezja","Indonesia AirAsia","QZ-8501","Airbus A320","PK-AXC","162",0,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","2015-02-04","Tajwan","TransAsia Airways","GE235/TNA235","ATR 72-600","B-22816","43","15","osobny artykul"
"2","3 marca","Nepal","Turkish Airlines","TK 726","Airbus A330-300","TC-JOC","0","234",""
"3","5 marca","Stany Zjednoczone","Delta Air Lines","DL1086","McDonnell Douglas MD-88","N960DL","0","120",""
"4","2015-03-24","Francja","Germanwings","4U9525","Airbus A320","D-AIPX","150","0","osobny artykul"
"5","2015-03-29","Kanada","Air Canada","AC 624","Airbus A320","C-FTJP","0","137",""
"6","13 kwietni","Kanada","Carson Air","66","Fairchild Swearingen Metro III","C-GSKC","2","0",""
"7","14 kwietni","Japonia","Asiana Airlines","AAR162","Airbus A320","HL7762","0","82",""
"8","2015-06-25","Stany Zjednoczone","Promech Air","–","DHC-3T","N270PA","9","0","aviation-safety"
"9","2015-08-16","Indonezja","Trigana Air Service","IL257","ATR 42-300","PK-YRN","54","0","osobny artykul"
"10","5 wrzesnia","Senegal","Ceiba Intercontinental Airlines","71","Boeing 737-800","3C-LLY","0 (7)","112",""
"11","5 wrzesnia","Senegal","Senegalair","–","Hawker Siddeley HS125","6V-AIM","7","0 (112)",""
"12","8 wrzesnia","Stany Zjednoczone","British Airways","BA2276","Boeing 777","G-VIIO","0","170",""
"13","2015-10-02","Indonezja","Aviastar","MV7503","DHC-6 300","PK-BRM","10","0",""
"14","29 pazdzie","Stany Zjednoczone","Dynamic Airways","405","Boeing 767","N251MY","0","101","osobny artykul"
"15","2015-10-31","Egipt","Metrojet","KGL9268","Airbus A321","EI-ETJ","224","0","osobny artykul"
"16","2015-11-04","Sudan Poludniowy","Allied Services Limited","–","An-12","EY-406","41","2","osobny artykul"
"17","22 listopa","Kirgistan","Avia Traffic Company","768","Boeing 737-300","EX-37005","0","159",""
"18","2015-12-24","Demokratyczna Republika Konga","Services Air","–","Airbus A310","9Q-CVH","8","4","aviation-safety"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","8 stycznia","Szwecja","West Air Sweden","294","Bombardier CRJ200","SE-DUX",2,"0","aviation-safety"
"2","2 lutego","Somalia","Daallo Airlines","159","Airbus A321","SX-BHS",1,"82","aviation-safety"
"3","2016-02-24","Nepal","Tara Air","193","DHC-6-400","9N-AHH",23,"0","aviation-safety"
"4","2016-02-26","Nepal","Air Kasthamandap","","PAC 750XL","9N-AJB",2,"9","aviation-safety"
"5","2016-03-19","Rosja","Flydubai","FZ981","Boeing 737-800","A6-FDN",62,"0","osobny artykul"
"6","29 marca","Cypr","EgyptAir","MS181","Airbus A320","SU-GCB",0,"63",""
"7","4 kwietnia","Indonezja","Batik Air","7703","Boeing 737-800","PK-LBS",0,"56 (60)",""
"8","4 kwietnia","Indonezja","TransNusa","–","ATR 42","PK-TNJ",0,"4 (60)",""
"9","18 maja","Afganistan","Silk Way Airlines","–","Antonow An-12","4K-AZ25",7,"2",""
"10","2016-05-19","Egipt","EgyptAir","MS804","Airbus A320-200","SU-GCC",66,"0","osobny artykul"
"11","27 maja","Japonia","Korean Air","KAL2708","Boeing 777-3B5","HL7534",0,"319",""
"12","27 czerwca","Singapur","Singapore Airlines","SQ368","Boeing 777","9V-SWB",0,"241",""
"13","3 sierpnia","Zjednoczone Emiraty Arabskie","Emirates","EK521","Boeing 777-300","A6-EMW",1,"300",""
"14","5 sierpnia","Wlochy","ASL Airlines Hungary","7332","Boeing 737-476SF","HA-FAX",0,"2",""
"15","28 listopa","Kolumbia","LaMia Airlines","LMI 2933","BAe 146","CP-2933",72,"5","osobny artykul"
"16","7 grudnia","Pakistan","Pakistan International Airlines","661","ATR 42","AP-BHO",47,"0","osobny artykul"
"17","20 grudnia","Kolumbia","Aerosucre","4544","Boeing 727-200","HK-4544",5,"1","aviation-safety.net"
"18","23 grudnia","Malta","Afriqiyah Airways","209","Airbus A320","5A-ONB",0,"118",""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","2017-01-16","Kirgistan","MyCargo Airlines","TK 6491","Boeing 747-400","TC-MCL",39,0,"osobny artykul"
"2","2017-03-20","Sudan Poludniowy","South Supreme Airlines","–","An-26","S9-TLZ",0,45,"aviation-safety"
"3","2017-03-28","Peru","Peruvian Airlines","112","Boeing 737-300","OB-2036-P",0,150,"aviation-safety"
"4","2017-04-29","Kuba","Aerogaviota","FAR1436","An-26","CU-T1406",8,0,"avia tion-safety"
"5","2017-05-27","Nepal","Summit Air","409","Let L-410 Turbolet","9N-AKY",2,1,"aviation-safety"
"6","2017-09-30","Grenlandia","Air France","66","Airbus A380","F-HPJE",0,521,"osobny artykul"
"7","2017-10-14","Wybrzeze Kosci Sloniowej","Valan International Cargo Charter","–","An-26","ER-AVB",4,6,"aviation-safety"
"8","2017-11-15","Rosja","Khabarovsk Airlines","463","Let L-410 Turbolet","RA-67047",6,1,""
"9","2017-12-13","Kanada","West Wind Aviation","280","ATR 42","C-GWEA",1,24,"aviation-safety"
"10","2017-12-31","Australia","Sydney Seaplanes","–","DHC-2 Beaver","VH-NOO",6,0,"aviation-safety"
"11","2017-12-31","Kostaryka","Nature Air","9916","Cessna 208","TI-BEI",12,0,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","13 styczni","Turcja","Pegasus Airlines","8622","Boeing 737-800","TC-CPF",0,168,""
"2","2018-02-11","Rosja","Saratov Airlines","703","Antonow An-148","RA-61704",71,0,"osobny artykul"
"3","2018-02-18","Iran","Iran Aseman Airlines","3704","ATR 72-200","EP-ATS",65,0,"osobny artykul"
"4","2018-03-11","Iran","Basaran Holding","–","Canadair CL-604 Challenger","TC-TRB",11,0,"aviation-safety.net"
"5","12 marca","Nepal","US-Bangla Airlines","211","Bombardier Q400","S2-AGU",52,19,"osobny artykul"
"6","17 marca","Filipiny","Lite Air Express","–","Piper PA-23 Apache","RP-C299",10,0,""
"7","2018-04-17","Stany Zjednoczone","Southwest Airlines","WN1380","Boeing 737-700","N772SW",1,148,"aviation-safety.net"
"8","2018-05-13","Irlandia","Parachuting Caravan Leasing","czarterowy","Cessna 208B","G-KNYS",2,0,"aviation-safety.net"
"9","2018-05-18","Kuba","Cubana de Aviación/Global Air","972","Boeing 737-200 Adv","XA-UHZ",112,1,"osobny artykul"
"10","14 lipca","Niemcy","Ryanair","FR7312","Boeing 737-800","EI-ENM",0,189,"irishtimes"
"11","28 lipca","Vanuatu","Air Vanuatu","241","ATR 72","YJ-AV71",0,43,""
"12","28 lipca","Vanuatu","Unity Airlines","–","Britten Norman Islander","YJ-OO9",0,0,""
"13","28 lipca","Vanuatu","Air Taxi","–","Britten Norman Islander","YJ-AL2",0,0,""
"14","31 lipca","Meksyk","Aeromexico Connect","2431","Embraer 190","XA-GAL",0,103,""
"15","2018-08-10","Stany Zjednoczone","Horizon Air","–","Bombardier Q 400","N449QX",1,0,""
"16","2018-08-16","Filipiny","Xiamen Airlines","MF8667","Boeing 737-800","B-5498",0,165,""
"17","1 wrzesnia","Rosja","UTair","579","Boeing 737-800","VQ-BJI",1,170,""
"18","2018-09-09","Sudan Poludniowy","Baby Air","Slaver Company","Let L-410UVP","UR-TWO",20,3,"aviation-safety.net"
"19","28 wrzesni","Mikronezja","Air Niugini","73","Boeing 737-800","P2-PXE",1,46,""
"20","29 pazdzie","Indonezja","Lion Air","JT610","Boeing 737 MAX 8","PK-LQP",189,0,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1930-10-05","Francja","?","R101","?","?",48,0,NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1931-03-21","Australia","Australian National Airways","?","Fokker F.VII","VH-UMF","8","0",NA
"2","1931-03-31","Stany Zjednoczone","TWA","599","Fokker F10","NC-999","8","0",NA
"3","1931-12-19","Stany Zjednoczone","TWA","?","Ford-4-AT-E-Trimotor","NC7119","?","?",NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1932-12-14","Stany Zjednoczone","TWA","?","Ford-5-AT-B-Trimotor","NC-9650","?","?",NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1933-03-28","Belgia","Imperial Airways","?","Armstrong Whitworth","G-AACI","15","0",NA
"2","1933-08-29","Stany Zjednoczone","TWA","?","Ford-5-AT-B-Trimotor","NC9607","?","?",NA
"3","1933-10-10","Stany Zjednoczone","United Airlines","?","Boeing 247","NC13304","7","0",NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1934-07-27","III Rzesza","Swissair","?","Curtiss T-32 Condor II","CH-170",12,0,NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1935-05-06","Stany Zjednoczone","TWA",6,"Douglas DC-2","?","?","?",NA
"2","1935-10-07","Stany Zjednoczone","United Airlines",4,"Boeing 247","NC13317","12","0",NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1936-04-07","Stany Zjednoczone","TWA","1","Douglas DC-2","NC-13721",12,2,""
"2","1936-12-09","Wielka Brytania","KLM","?","Douglas DC-2","PH-AKL",15,2,""
"3","1936-12-28","Polska","Polskie Linie Lotnicze LOT","?","Lockheed L-10 Electra","SP-AYA",2,10,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1937-01-12","Stany Zjednoczone","Western Air Express","7","Boeing 247","NC13315",5,8,""
"2","1937-03-25","Stany Zjednoczone","TWA","15A","Douglas DC-2","NC-13730",13,0,""
"3","1937-11-11","Polska","Polskie Linie Lotnicze LOT","?","Lockheed L-14 Super Electra","SP-AYD",4,8,"osobny artykul"
"4","1937-11-16","Belgia","Sabena","?","Junkers Ju 52","OO-AUB",12,0,""
"5","1937-11-23","Bulgaria","LOT","?","Douglas DC-2-115D","SP-ASJ",6,0,"Tadeusz Dmoszynski"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1938-01-10","Stany Zjednoczone","Northwest Airlines","2","Lockheed L-188 Electra","NC-17388",10,0,""
"2","1938-01-11","Samoa Amerykanskie","Pan Am","?","Sikorsky S-42","?",7,0,""
"3","1938-03-01","Stany Zjednoczone","TWA","8","Douglas DC-2","NC13789",9,0,""
"4","1938-07-22","Rumunia","LOT","?","Lockheed L-14 Super Electra","SP-BNG",14,0,"osobny artykul"
"5","1938-10-25","Australia","Australian National Airways","?","Douglas DC-2","VH-UYC",18,0,""
"6","1938-11-04","Stany Zjednoczone","Jersey Airways","?","de Havilland Express","G-ACZN",14,0,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1939-01-13","Stany Zjednoczone","Northwest Airlines",1,"Lockheed L-14 Super Electra","NC-17389",4,0,NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1940-06-14","Finlandia","Finnair","?","Junkers Ju 52","OH-ALL",9,0,NA
"2","1940-08-31","Stany Zjednoczone","Capital Airlines","19","Douglas DC-3","NC21789",25,0,NA
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
